Rank,Gold,Silver,Bronze,S Tier,Winrate
1,13,5,1,1,High
2,13,4,1,1,High
3,14,3,1,1,High
4,12,3,1,1,High
5,12,4,2,1,High
6,12,4,1,1,High
7,6,4,2,1,Medium
8,14,6,0,1,High
9,13,6,0,1,High
10,12,4,2,1,High
11,10,4,0,1,Medium
12,5,1,1,1,Low
13,9,4,1,1,Medium
14,13,4,1,1,High
15,8,4,3,1,Medium
16,15,9,2,0,High
17,11,5,3,0,High
18,11,5,2,0,High
19,17,5,1,0,High
20,3,5,2,0,Low
21,3,3,2,0,Low
22,6,6,2,0,Medium
23,1,4,1,0,Low
24,4,1,0,0,Low
25,19,1,0,0,High
26,18,1,1,0,High
27,11,3,2,0,High
28,2,5,6,0,Low
29,17,2,0,0,High
30,18,0,0,0,High
31,5,5,2,0,Low
32,5,6,2,0,Low
33,6,3,1,0,Medium
34,1,3,3,0,Low
35,6,4,2,0,Medium
36,4,5,2,0,Low
37,5,6,1,0,Low
38,2,3,2,0,Low
39,7,6,2,0,Medium
40,9,5,3,0,Medium
41,13,5,2,0,High
42,3,3,2,0,Low
43,2,7,3,0,Low
44,5,1,1,0,Low
45,3,3,2,0,Low
46,11,5,1,0,High
47,8,4,0,0,Medium
48,7,3,1,0,Medium
48,6,3,1,0,Medium
50,6,5,5,0,Medium
51,17,0,0,0,High
52,6,5,3,0,Medium
53,11,5,0,0,High
54,7,3,0,0,Medium
55,1,3,2,0,Low
56,8,6,2,0,MEdium
57,13,5,2,0,High
58,10,6,2,0,Medium
59,9,3,2,0,Medium
60,4,2,2,0,Low
61,11,6,0,0,High
62,16,4,2,0,High
63,10,2,1,0,Medium
64,16,1,1,0,High
65,12,5,1,0,High
66,10,2,1,0,Medium
67,9,3,2,0,Medium
68,12,2,2,0,High
69,11,3,2,0,High
70,1,2,1,0,Low
71,11,2,1,0,High
72,11,3,0,0,High
73,13,4,2,0,HIgh
74,8,3,1,0,Medium
75,8,3,2,0,Medium
76,7,4,2,0,Medium
77,2,3,1,0,Low
77,2,3,1,0,Low
79,2,2,1,0,Low
